run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,8,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,9,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,10,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,11,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,12,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,13,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,14,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,15,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,16,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,17,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,18,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,19,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,20,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,21,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,22,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,23,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,24,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,25,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,26,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,27,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,28,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,29,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,30,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,31,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,32,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,33,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,34,availability_based,idt2a,0.97,20.0,0.99,0.925,0
